"","x"
"1",0
"2",0
"3",0
"4",0
"5",2
"6",0
"7",2
"8",1
"9",0
"10",2
"11",4
"12",0
"13",0
"14",2
"15",2
"16",7
"17",2
"18",1
"19",1
"20",28
"21",6
"22",0
"23",7
"24",5
"25",579
"26",1
"27",48
"28",210
"29",1
"30",0
"31",63
"32",3
"33",115
"34",6
"35",8
"36",40
"37",17
"38",16
"39",22
"40",2
"41",3
"42",8
"43",0
"44",1
"45",13
"46",21
"47",2
"48",10
"49",5
"50",79
"51",15
"52",4
"53",23
"54",20
"55",6
"56",23
"57",8
"58",141
"59",34
"60",2
"61",15
"62",1
"63",37
"64",41
"65",2
"66",250
"67",495
"68",31
"69",1
"70",1
"71",17
"72",5
"73",37
"74",49
"75",183
"76",14
"77",6
"78",11
"79",6
"80",148
"81",0
"82",35
"83",3
"84",42
"85",9
"86",0
"87",3
"88",5
"89",21
"90",13
"91",0
"92",16
"93",2
"94",2
"95",3
"96",7
"97",22
"98",579
"99",12
"100",48
"101",3
"102",7
"103",2
"104",58
"105",0
"106",223
"107",0
"108",6
"109",0
"110",6
"111",6
"112",3
"113",20
"114",10
"115",2
"116",38
"117",65
"118",2
"119",0
"120",29
"121",271
"122",2
"123",107
"124",61
"125",0
"126",0
"127",0
"128",33
"129",33
"130",2
"131",2
"132",0
"133",2
"134",0
"135",5
"136",15
"137",13
"138",14
"139",59
"140",1
"141",5
"142",3
"143",24
"144",9
"145",3
"146",3
"147",0
"148",64
"149",2
"150",3
"151",6
"152",32
"153",1
"154",1
"155",271
"156",50
"157",84
"158",16
"159",260
"160",0
"161",0
"162",2
"163",0
"164",0
"165",1
"166",5
"167",39
"168",5
"169",20
"170",0
"171",10
"172",8
"173",46
"174",0
"175",1
"176",0
"177",5
"178",3
"179",171
"180",11
"181",36
"182",34
"183",8
"184",1
"185",35
"186",10
"187",11
"188",2
"189",3
"190",36
"191",3
"192",0
"193",386
"194",2
"195",1
"196",46
"197",25
"198",8
"199",6
"200",7
"201",102
"202",9
"203",11
"204",0
"205",20
"206",421
"207",771
"208",41
"209",47
"210",162
"211",0
"212",4
"213",18
"214",9
"215",35
"216",4
"217",2
"218",0
"219",165
"220",225
"221",0
"222",6
"223",5
"224",247
