"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2021","1,603.25","1,615.00","1,634.00","1,595.00","212.93K","-0.43%"
"07/29/2021","1,610.25","1,635.00","1,650.00","1,604.60","224.07K","-1.52%"
"07/28/2021","1,635.10","1,680.00","1,680.30","1,611.00","401.61K","-2.33%"
"07/27/2021","1,674.15","1,703.70","1,730.00","1,658.00","550.93K","-1.24%"
"07/26/2021","1,695.25","1,617.95","1,724.00","1,596.40","1.08M","3.14%"
"07/23/2021","1,643.60","1,683.00","1,691.00","1,638.00","261.30K","-2.03%"
"07/22/2021","1,677.60","1,726.00","1,735.70","1,665.40","382.87K","-2.05%"
"07/20/2021","1,712.70","1,780.00","1,795.00","1,702.25","690.12K","-3.66%"
"07/19/2021","1,777.70","1,692.00","1,847.90","1,681.25","2.76M","3.51%"
"07/16/2021","1,717.50","1,707.05","1,747.90","1,671.35","1.22M","1.11%"
"07/15/2021","1,698.70","1,619.00","1,710.00","1,588.60","1.91M","5.74%"
"07/14/2021","1,606.45","1,610.10","1,650.00","1,578.00","1.59M","0.40%"
"07/13/2021","1,600.10","1,490.00","1,615.00","1,483.00","1.88M","7.90%"
"07/12/2021","1,482.90","1,510.00","1,515.05","1,480.00","229.78K","-1.21%"
"07/09/2021","1,501.10","1,515.00","1,515.00","1,485.00","126.15K","-1.21%"
"07/08/2021","1,519.50","1,510.20","1,529.00","1,495.40","145.01K","0.96%"
"07/07/2021","1,505.00","1,519.00","1,534.00","1,500.05","207.98K","-0.94%"
"07/06/2021","1,519.25","1,540.15","1,549.85","1,516.00","123.71K","-1.26%"
"07/05/2021","1,538.60","1,520.00","1,576.30","1,510.00","292.66K","1.54%"
"07/02/2021","1,515.30","1,515.10","1,521.00","1,508.00","60.50K","0.20%"
"07/01/2021","1,512.35","1,522.00","1,523.90","1,505.00","103.35K","-0.60%"
"06/30/2021","1,521.55","1,531.00","1,536.10","1,513.05","79.56K","0.91%"
"06/29/2021","1,507.90","1,511.65","1,526.00","1,498.05","82.69K","-0.22%"
"06/28/2021","1,511.20","1,520.00","1,529.80","1,503.75","100.63K","-0.57%"
"06/25/2021","1,519.85","1,516.60","1,527.00","1,498.00","101.75K","0.40%"
"06/24/2021","1,513.85","1,491.90","1,526.30","1,489.00","174.78K","1.68%"
"06/23/2021","1,488.80","1,508.00","1,510.50","1,478.75","87.64K","-0.48%"
"06/22/2021","1,496.00","1,510.00","1,524.85","1,492.55","192.59K","0.24%"
"06/21/2021","1,492.40","1,484.90","1,509.75","1,471.30","269.75K","-0.09%"
"06/18/2021","1,493.75","1,499.70","1,504.75","1,472.00","161.80K","0.09%"
"06/17/2021","1,492.45","1,537.75","1,537.75","1,485.00","305.60K","-2.95%"
"06/16/2021","1,537.75","1,546.20","1,558.45","1,535.20","67.10K","-0.54%"
"06/15/2021","1,546.15","1,564.90","1,566.20","1,542.75","112.97K","-0.55%"
"06/14/2021","1,554.75","1,574.00","1,575.00","1,547.65","106.80K","-0.85%"
"06/11/2021","1,568.00","1,585.00","1,598.80","1,561.85","106.13K","-0.93%"
"06/10/2021","1,582.70","1,577.90","1,587.10","1,566.35","60.23K","0.75%"
"06/09/2021","1,570.85","1,625.00","1,626.90","1,565.00","461.23K","-3.05%"
"06/08/2021","1,620.25","1,620.00","1,628.80","1,591.00","132.59K","0.62%"
"06/07/2021","1,610.30","1,588.00","1,636.25","1,577.55","268.17K","2.23%"
"06/04/2021","1,575.25","1,560.00","1,582.00","1,550.45","146.67K","0.99%"
"06/03/2021","1,559.75","1,550.00","1,566.95","1,548.05","109.93K","1.12%"
"06/02/2021","1,542.45","1,565.00","1,574.35","1,535.10","172.64K","-0.85%"
"06/01/2021","1,555.70","1,554.00","1,564.95","1,530.00","122.20K","0.43%"
"05/31/2021","1,549.00","1,554.80","1,554.80","1,530.05","157.43K","-0.05%"
"05/28/2021","1,549.75","1,564.00","1,564.00","1,540.05","153.55K","-0.22%"
"05/27/2021","1,553.20","1,532.00","1,572.00","1,520.05","214.72K","2.22%"
"05/26/2021","1,519.45","1,554.00","1,561.50","1,515.10","405.97K","-1.52%"
"05/25/2021","1,542.95","1,578.20","1,600.90","1,537.00","302.35K","-2.78%"
"05/24/2021","1,587.00","1,545.55","1,604.00","1,545.55","396.15K","-2.45%"
"05/21/2021","1,626.85","1,643.00","1,664.85","1,615.00","292.48K","0.06%"
"05/20/2021","1,625.95","1,626.20","1,645.00","1,618.95","259.60K","0.66%"
"05/19/2021","1,615.25","1,611.00","1,633.30","1,608.00","250.50K","0.15%"
"05/18/2021","1,612.90","1,567.50","1,625.00","1,555.30","529.83K","3.81%"
"05/17/2021","1,553.70","1,535.00","1,600.05","1,528.20","427.53K","2.38%"
"05/14/2021","1,517.55","1,569.70","1,574.80","1,510.25","146.72K","-2.49%"
"05/12/2021","1,556.25","1,570.00","1,589.60","1,542.30","176.49K","-0.71%"
"05/11/2021","1,567.35","1,584.90","1,615.80","1,560.00","460.23K","-1.43%"
"05/10/2021","1,590.05","1,523.00","1,600.00","1,506.20","875.75K","5.89%"
"05/07/2021","1,501.65","1,487.90","1,524.80","1,481.00","264.47K","1.52%"
"05/06/2021","1,479.20","1,489.00","1,489.00","1,465.05","90.43K","-0.03%"
"05/05/2021","1,479.65","1,494.70","1,494.70","1,473.20","71.58K","-0.46%"
"05/04/2021","1,486.55","1,504.90","1,509.00","1,475.00","98.25K","-0.45%"
"05/03/2021","1,493.20","1,481.15","1,509.00","1,470.00","100.22K","1.15%"
"04/30/2021","1,476.25","1,520.00","1,534.45","1,471.00","252.29K","-3.65%"
"04/29/2021","1,532.10","1,545.00","1,554.50","1,527.00","131.48K","0.11%"
"04/28/2021","1,530.45","1,549.00","1,551.95","1,521.85","182.65K","-0.49%"
"04/27/2021","1,537.95","1,496.10","1,549.90","1,495.10","470.86K","3.69%"
"04/26/2021","1,483.15","1,472.00","1,491.80","1,455.00","225.40K","1.65%"
"04/23/2021","1,459.05","1,458.90","1,468.95","1,451.05","126.32K","0.21%"
"04/22/2021","1,455.95","1,468.00","1,479.00","1,452.00","177.03K","-0.34%"
"04/20/2021","1,460.95","1,505.50","1,528.00","1,440.00","260.44K","-2.07%"
"04/19/2021","1,491.85","1,475.00","1,508.00","1,456.05","259.48K","-0.20%"
"04/16/2021","1,494.85","1,500.00","1,504.15","1,471.70","157.84K","1.35%"
"04/15/2021","1,474.90","1,475.00","1,481.00","1,453.00","73.65K","0.14%"
"04/13/2021","1,472.90","1,495.00","1,502.75","1,458.00","141.92K","-1.11%"
"04/12/2021","1,489.40","1,505.10","1,510.00","1,438.00","247.00K","-1.79%"
"04/09/2021","1,516.50","1,509.00","1,544.00","1,507.00","197.96K","0.76%"
"04/08/2021","1,505.00","1,494.00","1,526.70","1,490.00","276.76K","1.37%"
"04/07/2021","1,484.60","1,465.80","1,501.00","1,465.80","224.98K","1.38%"
"04/06/2021","1,464.40","1,456.00","1,483.95","1,432.30","311.86K","0.92%"
"04/05/2021","1,451.00","1,521.90","1,528.80","1,443.05","353.68K","-4.42%"
"04/01/2021","1,518.05","1,520.95","1,544.90","1,506.85","156.83K","0.34%"
"03/31/2021","1,512.95","1,530.50","1,544.95","1,505.00","142.73K","-1.08%"
"03/30/2021","1,529.45","1,570.00","1,579.15","1,525.00","131.21K","-2.45%"
"03/26/2021","1,567.85","1,530.00","1,574.00","1,514.05","122.78K","3.15%"
"03/25/2021","1,519.95","1,546.05","1,546.05","1,506.10","270.31K","-1.69%"
"03/24/2021","1,546.05","1,560.95","1,563.40","1,526.00","291.12K","-0.58%"
"03/23/2021","1,555.10","1,615.00","1,620.00","1,525.70","312.33K","-3.56%"
"03/22/2021","1,612.45","1,607.95","1,639.50","1,596.55","274.53K","0.48%"
"03/19/2021","1,604.75","1,574.00","1,619.90","1,545.00","250.16K","1.11%"
"03/18/2021","1,587.10","1,628.00","1,633.75","1,577.00","771.07K","-1.16%"
"03/17/2021","1,605.80","1,585.00","1,633.90","1,585.00","582.35K","1.58%"
"03/16/2021","1,580.90","1,538.10","1,597.80","1,532.90","551.86K","2.68%"
"03/15/2021","1,539.70","1,527.00","1,549.90","1,515.55","276.24K","1.15%"
"03/12/2021","1,522.25","1,526.00","1,546.95","1,505.50","295.04K","0.39%"
"03/10/2021","1,516.40","1,525.00","1,532.95","1,505.10","165.79K","0.05%"
"03/09/2021","1,515.65","1,540.00","1,544.35","1,500.00","160.70K","-1.15%"
"03/08/2021","1,533.35","1,515.00","1,557.70","1,506.30","281.09K","1.64%"
"03/05/2021","1,508.60","1,536.10","1,538.10","1,505.00","116.98K","-1.77%"
"03/04/2021","1,535.80","1,538.00","1,559.90","1,531.30","124.24K","-0.44%"
"03/03/2021","1,542.55","1,510.00","1,567.40","1,508.10","390.23K","2.66%"
"03/02/2021","1,502.65","1,518.00","1,521.00","1,496.00","210.28K","-0.09%"
"03/01/2021","1,503.95","1,520.00","1,534.50","1,498.00","194.96K","-0.52%"
"02/26/2021","1,511.85","1,501.05","1,524.00","1,491.00","215.86K","-0.54%"
"02/25/2021","1,520.00","1,530.00","1,531.50","1,505.50","149.38K","0.06%"
"02/24/2021","1,519.05","1,507.95","1,531.55","1,500.50","150.09K","1.17%"
"02/23/2021","1,501.45","1,499.00","1,514.00","1,490.10","118.41K","0.78%"
"02/22/2021","1,489.90","1,501.00","1,521.95","1,478.50","177.68K","-0.77%"
"02/19/2021","1,501.40","1,502.95","1,519.30","1,494.95","155.34K","0.02%"
"02/18/2021","1,501.15","1,508.00","1,518.85","1,490.40","220.51K","-0.10%"
"02/17/2021","1,502.70","1,535.00","1,542.05","1,495.25","345.92K","-2.13%"
"02/16/2021","1,535.45","1,549.95","1,588.00","1,511.90","456.83K","-0.03%"
"02/15/2021","1,535.90","1,583.00","1,594.60","1,528.35","270.89K","-1.83%"
"02/12/2021","1,564.60","1,500.00","1,575.00","1,500.00","728.68K","4.84%"
"02/11/2021","1,492.35","1,498.00","1,533.50","1,485.50","532.55K","-0.23%"
"02/10/2021","1,495.80","1,552.00","1,559.00","1,491.20","773.41K","-3.56%"
"02/09/2021","1,550.95","1,558.00","1,586.00","1,540.00","284.60K","-0.22%"
"02/08/2021","1,554.30","1,594.00","1,596.15","1,541.00","318.78K","-1.95%"
