descripcion,id,titular
"¿Cuántas veces ganó de local? ¿Cuántos goles hizo como dueño de casa en finales? Este sábado recibirán al Aucas, por la ida del torneo de la LigaPro.",[0],Así le fue a Barcelona SC en Guayaquil cuando jugó finales del campeonato de Ecuador
El exjugador de los toreros y campeón de América en 2008 con Liga de Quito opina claro en una entrevista con EL UNIVERSO sobre el choque ante Aucas.,[1],El recado que manda Patricio Urrutia a Barcelona por la final de la LigaPro
"La historia oro y grana habla de un equipo ganador en sus primeros años, ""imparable"" y multicampeón en el fútbol de Pichincha, ""Papá"" del resto de equipos.",[2],"‘Aucas nació grande y por eso es ídolo’, dice Ramiro Montenegro"
"Las escuadras finalistas acudieron con numerosas barras, quienes al termino del cotejo disfrutaron de un espectáculo de juegos artificiales.",[3],En Durán se realizó torneo de fútbol femenino solidario
Fase de grupos finaliza con los dieciséis clubes que avanzan a siguiente ronda.,[4],Estos son los equipos clasificados para octavos de final de la Champions League 2022-2023
Los medios alemanes no dan detalles sobre la fecha de la enfermedad.,[5],"Portero Manuel Neuer, campeón con Alemania y el Bayern Munich, tuvo que someterse a tres intervenciones quirúrgicas por cáncer"
El argentino-ecuatoriano retornó al fútbol en julio pasado y ahora buscará el título de la LigaPro con Aucas.,[6],"‘Quedó en deuda. Debió asumir el liderazgo por ser un seleccionado’: la crítica de Nelson Tapia, exarquero mundialista, a Hernán Galíndez y su paso por la Universidad de Chile"
La gran final en 'singles' se disputará el domingo 6 de noviembre en horario por confirmar.,[7],Partidos del Challenger Ciudad de Guayaquil se disputarán en jornadas diurnas
Su debut como nacionalizado en la Tricolor fue en el amistoso que se disputó el 29 de marzo del año pasado. Fue una victoria por 2-1 ante Bolivia.,[8],"‘Si la selección de Ecuador necesita a alguien que les lleve el agua, cuenten conmigo’, dice Damián ‘Kitu’ Díaz, quien desea ir al Mundial 2022 "
"El Verdao se vale de derrota del Internacional, escolta en liga, y se presentará como monarca cuatro partidos antes de fin de campaña.",[9],Palmeiras es campeón de Brasil
El hijo mayor del goleador eterno de la Copa Libertadores platicó con EL UNIVERSO en una reciente visita a Guayaquil.,[10],‘Alberto Spencer podía haber seguido jugando por lo menos tres años más con Barcelona SC’
"Italiano, también el más destacado en cuanto a palmarés, supera a míticos directores técnicos.",[11],Champions League: Carlo Ancelotti se convierte en el entrenador con más victorias
(Video) El titular del certamen nacional indicó que sí habrá público en el duelo entre canarios y orientales.,[12],Presidente de LigaPro aclara que Barcelona SC no tuvo injerencia en el cambio de horario de la final que se jugará en el Monumental
Partido de ida de definición de la primera división del fútbol ecuatoriano será en Guayaquil.,[13],Árbitros designados para final de LigaPro entre Barcelona y Aucas
9 de Octubre mide a El Nacional en medio del estado de excepción vigente en Guayas. Por la medida se modificó el horario de la fecha en Los Chirijos y en Quito.,[14],Sin público en Milagro para definir al segundo finalista de Copa Ecuador
"De acuerdo a versiones inglesas y españolas, el cuadro blanco le hace seguimiento al volante ecuatoriano.",[15],"Real Madrid ve en Moisés Caicedo al reemplazo del croata Luka Modrić, según prensa inglesa"
"Juan Zapata, secretario de Estado, anunció que se tomó esta decisión luego de una evaluación por los brotes de violencia en Guayaquil y otras ciudades.",[16],Ministro del Interior anunció el horario para el partido Barcelona SC vs. Aucas por la final de la LigaPro
Equipos de Premier League rechazaron la solicitud de Argentina de dejar a sus futbolistas sin disputar la jornada en el fin de semana del 12 y 13 de noviembre.,[17],Clubes pueden liberar sus jugadores a las selecciones a partir del lunes 14 de noviembre
"Concluidas las elecciones, luego de las 17:00,  comenzaron los incidentes.",[18],"Al final de la jornada electoral en Emelec se vivieron momentos de tensión por los reclamos de candidato, explosiones y peleas entre hinchas alrededor del estadio Capwell"
"El sobrecargado calendario hasta el final de 2022, con el Mundial de Qatar en poco más de dos semanas, no permitió organizar el partido en el momento deseado.",[19],Inglaterra vs. Escocia se enfrentarán para rememorar los 150 años del primer partido internacional de fútbol de la historia
,[20],"Barcelona SC vs. Aucas, una batalla que empezó en 1949"
,[21],"De la final del 60 a esta, casi otro deporte"
,[22],"Emelec, entre la incertidumbre y la certeza"
,[23],Milagro en los Andes
,[24],"Filis de Filadelfia, desde la ronda de comodines a la Serie Mundial, que será contra los Astros de Houston"
,[25],"José Pileggi Véliz, presidente electo de Emelec, habló sobre la salida de Ismael Rescalvo, el nuevo técnico y la inseguridad en el Ecuador"
,[26],Ministro del Interior anunció el horario para el partido Barcelona SC vs. Aucas por la final de la LigaPro
,[27],LigaPro: Fabián Bustos y el extraño caso del DT bicampeón que no gana ningún partido por finales
,[28],"'Neme es el mejor dirigente que he tenido. Si vuelvo a Ecuador será solo a Emelec, del que digo es un equipo europeo’"
,[29],Estos son los equipos clasificados para octavos de final de la Champions League 2022-2023
descripcion,id,titular
"¿Cuántas veces ganó de local? ¿Cuántos goles hizo como dueño de casa en finales? Este domingo recibirá al Aucas, por la ida del torneo de la LigaPro.",[0],Así le fue a Barcelona SC en Guayaquil cuando jugó finales del campeonato de Ecuador
(VIDEO) El exjugador canario y campeón de América en 2008 con Liga de Quito opina claro en una entrevista con EL UNIVERSO sobre el choque ante Aucas.,[1],El recado que manda Patricio Urrutia a Barcelona por la final de la LigaPro
"La historia oro y grana habla de un equipo ganador en sus primeros años, ""imparable"" y multicampeón en el fútbol de Pichincha, ""Papá"" del resto de equipos.",[2],"‘Aucas nació grande y por eso es ídolo’, dice Ramiro Montenegro"
"Las escuadras finalistas acudieron con numerosas barras, quienes al termino del cotejo disfrutaron de un espectáculo de juegos artificiales.",[3],En Durán se realizó torneo de fútbol femenino solidario
Fase de grupos finaliza con los dieciséis clubes que avanzan a siguiente ronda.,[4],Estos son los equipos clasificados para octavos de final de la Champions League 2022-2023
Los medios alemanes no dan detalles sobre la fecha de la enfermedad.,[5],"Portero Manuel Neuer, campeón con Alemania y el Bayern Munich, tuvo que someterse a tres intervenciones quirúrgicas por cáncer"
El argentino-ecuatoriano retornó al fútbol en julio pasado y ahora buscará el título de la LigaPro con Aucas.,[6],"‘Quedó en deuda. Debió asumir el liderazgo por ser un seleccionado’: la crítica de Nelson Tapia, exarquero mundialista, a Hernán Galíndez y su paso por la Universidad de Chile"
La gran final en 'singles' se disputará el domingo 6 de noviembre en horario por confirmar.,[7],Partidos del Challenger Ciudad de Guayaquil se disputarán en jornadas diurnas
Su debut como nacionalizado en la Tricolor fue en el amistoso que se disputó el 29 de marzo del año pasado. Fue una victoria por 2-1 ante Bolivia.,[8],"‘Si la selección de Ecuador necesita a alguien que les lleve el agua, cuenten conmigo’, dice Damián ‘Kitu’ Díaz, quien desea ir al Mundial 2022 "
"El Verdao se vale de derrota del Internacional, escolta en liga, y se presentará como monarca cuatro partidos antes de fin de campaña.",[9],Palmeiras es campeón de Brasil
(VIDEO) El hijo mayor del goleador eterno de la Copa Libertadores platicó con EL UNIVERSO en una reciente visita a Guayaquil.,[10],‘Alberto Spencer podía haber seguido jugando por lo menos tres años más con Barcelona SC’
"Italiano, también el más destacado en cuanto a palmarés, supera a míticos directores técnicos.",[11],Champions League: Carlo Ancelotti se convierte en el entrenador con más victorias
(Video) El titular del certamen nacional indicó que sí habrá público en el duelo entre canarios y orientales.,[12],Presidente de LigaPro aclara que Barcelona SC no tuvo injerencia en el cambio de horario de la final que se jugará en el Monumental
Partido de ida de definición de la primera división del fútbol ecuatoriano será en Guayaquil.,[13],Árbitros designados para final de LigaPro entre Barcelona y Aucas
9 de Octubre mide a El Nacional en medio del estado de excepción vigente en Guayas. Por la medida se modificó el horario de la fecha en Los Chirijos y en Quito.,[14],Sin público en Milagro para definir al segundo finalista de Copa Ecuador
"De acuerdo a versiones inglesas y españolas, el cuadro blanco le hace seguimiento al volante ecuatoriano.",[15],"Real Madrid ve en Moisés Caicedo al reemplazo del croata Luka Modrić, según prensa inglesa"
"Juan Zapata, secretario de Estado, anunció que se tomó esta decisión luego de una evaluación por los brotes de violencia en Guayaquil y otras ciudades.",[16],Ministro del Interior anunció el horario para el partido Barcelona SC vs. Aucas por la final de la LigaPro
Equipos de Premier League rechazaron la solicitud de Argentina de dejar a sus futbolistas sin disputar la jornada en el fin de semana del 12 y 13 de noviembre.,[17],Clubes pueden liberar sus jugadores a las selecciones a partir del lunes 14 de noviembre
"Concluidas las elecciones, luego de las 17:00,  comenzaron los incidentes.",[18],"Al final de la jornada electoral en Emelec se vivieron momentos de tensión por los reclamos de candidato, explosiones y peleas entre hinchas alrededor del estadio Capwell"
"El sobrecargado calendario hasta el final de 2022, con el Mundial de Qatar en poco más de dos semanas, no permitió organizar el partido en el momento deseado.",[19],Inglaterra vs. Escocia se enfrentarán para rememorar los 150 años del primer partido internacional de fútbol de la historia
,[20],"Barcelona SC vs. Aucas, una batalla que empezó en 1949"
,[21],"De la final del 60 a esta, casi otro deporte"
,[22],"Emelec, entre la incertidumbre y la certeza"
,[23],Milagro en los Andes
,[24],"Filis de Filadelfia, desde la ronda de comodines a la Serie Mundial, que será contra los Astros de Houston"
,[25],"José Pileggi Véliz, presidente electo de Emelec, habló sobre la salida de Ismael Rescalvo, el nuevo técnico y la inseguridad en el Ecuador"
